Customer ID,Age,Gender,Location,Subscription Type,Subscription Duration,Monthly Charges,Total Charges,Payment Method,Tenure,Login Frequency,Time Spent on Platform,Number of Sessions,Feature Usage,Number of Purchases,Customer Support Tickets,Complaints,Satisfaction Score,Email Open Rate,Last Login Date,Renewal Status,Churn Status,Days Since Last Login
CUST1001,58.0,Male,Delhi,Premium,6,694,10410,Debit Card,15,48,62,87,24,34,1,4,7.0,0.08,2026-06-13,Yes,No,23
CUST1002,32.0,Other,Chennai,Basic,24,191,6685,Net Banking,35,15,239,76,9,0,2,5,7.0,0.36,"May 28, 2026",Yes,No,39
CUST1003,,Male,Delhi,Standard,1,401,9223,PayPal,23,17,423,6,24,29,8,0,7.0,0.12,22/04/2026,No,No,75
CUST1004,54.0,Male,Hyderabad,Basic,1,193,3667,Credit Card,19,55,129,111,4,24,4,3,6.0,0.2,2026-04-07,Yes,No,90
CUST1005,60.0,male,Hyderabad,Premium,1,717,7887,PayPal,11,47,135,21,15,24,4,5,9.0,0.25,"Apr 14, 2026",Yes,No,83
CUST1006,32.0,Male,Pune,Standard,12,396,1980,Debit Card,5,59,492,73,23,20,3,5,8.0,0.41,23/01/2026,No,Yes,164
CUST1007,27.0,Female,Mumbai,Basic,24,5000,3621,PayPal,17,28,469,75,13,23,3,1,9.0,0.49,2026-06-24,Yes,No,12
CUST1008,27.0,Other,Mumbai,Premium,12,717,3585,Net Banking,5,25,5000,60,17,16,8,0,2.0,0.66,"Feb 19, 2026",No,Yes,137
CUST1009,59.0,Female,Delhi,Standard,12,389,11670,,30,47,458,93,9,32,2,4,2.0,0.83,21/04/2026,Yes,Yes,76
CUST1010,27.0,Female,Pune,Basic,24,212,212,PayPal,1,21,260,3,4,23,4,1,1.0,0.27,2026-02-11,YES,Yes,145
CUST1011,23.0,Other,Kolkata,premium,24,187,1683,Net Banking,9,36,94,34,17,38,6,1,9.0,0.73,"Jan 11, 2026",Yes,Yes,176
CUST1012,63.0,Female,Kolkata,Premium,6,707,24038,credit card,34,8,136,29,3,21,0,4,9.0,0.26,11/05/2026,Yes,Yes,56
CUST1013,22.0,Other,Hyderabad,Basic,3,183,549,UPI,3,5,273,31,9,31,3,4,3.0,0.7,2026-02-10,No,Yes,146
CUST1014,33.0,Female,Pune,Standard,3,385,2695,Net Banking,7,23,226,1000,15,3,1,0,7.0,0.71,"Jun 09, 2026",Yes,No,27
CUST1015,30.0,Male,Chennai,Standard,3,406,4872,UPI,12,30,137,112,3,28,8,0,1.0,1.5,18/02/2026,Yes,Yes,138
CUST1016,23.0,Male,Mumbai,Standard,12,409,5726,Net Banking,14,58,40,22,13,0,6,2,,0.31,2026-01-09,No,Yes,178
CUST1017,27.0,Male,Bengaluru,Basic,1,216,7560,Credit Card,35,48,170,8,2,37,7,4,9.0,0.19,"Feb 26, 2026",Yes,Yes,130
CUST1018,29.0,Male,Chennai,Basic,3,204,1632,PayPal,8,16,306,77,2,39,1,3,10.0,0.56,17/04/2026,No,No,80
CUST1019,31.0,Other,Hyderabad,Standard,3,395,10270,Debit Card,26,43,340,39,15,20,1,0,8.0,0.61,2026-02-12,Yes,Yes,144
CUST1020,22.0,Other,Mumbai,Premium,6,687,15801,Credit Card,23,57,135,48,10,10,7,4,5.0,0.6,"Jan 20, 2026",Yes,Yes,167
CUST1021,60.0,Other,,Premium,1,687,11679,Credit Card,17,57,64,96,18,9,4,2,10.0,0.24,10/04/2026,Yes,No,87
CUST1022,61.0,Other,Pune,Standard,24,410,6970,Credit Card,17,6,334,55,9,2,0,2,3.0,0.62,2026-04-30,Yes,Yes,67
CUST1023,65.0,Female,Chennai,Premium,12,714,714,Credit Card,1,5,493,114,23,9,8,0,6.0,0.57,"May 30, 2026",No,Yes,37
CUST1024,26.0,Male,Bengaluru,Standard,1,401,5614,Debit Card,14,43,62,46,25,35,6,4,3.0,0.88,07/05/2026,Yes,Yes,60
CUST1025,29.0,Female,Delhi,Basic,6,205,3280,UPI,16,11,413,90,4,24,0,3,4.0,0.23,2026-03-11,No,Yes,117
CUST1026,37.0,Male,Mumbai,Basic,3,204,4488,UPI,22,56,45,99,9,22,8,3,9.0,0.35,"Jun 29, 2026",Yes,No,7
CUST1027,34.0,Male,Chennai,Standard,1,385,10780,UPI,28,47,412,41,14,38,8,0,7.0,0.86,19/05/2026,No,No,48
CUST1028,20.0,Other,Kolkata,Basic,24,213,2769,UPI,13,28,45,86,11,39,5,5,2.0,0.7,2026-04-21,No,Yes,76
CUST1029,60.0,Female,Bengaluru,Standard,6,414,3726,Debit Card,9,27,350,49,22,11,4,3,9.0,0.8,"Apr 20, 2026",No,No,77
CUST1030,31.0,Female,Pune,Premium,24,699,20970,Net Banking,30,29,355,28,17,30,2,5,2.0,0.31,18/01/2026,No,Yes,169
CUST1031,23.0,Male,Hyderabad,Standard,3,391,3910,Credit Card,10,3,135,61,20,4,7,3,10.0,0.22,2026-01-09,No,Yes,178
CUST1032,49.0,Female,Mumbai,Basic,1,185,5180,Debit Card,28,12,421,90,17,29,0,4,4.0,0.88,"Jun 05, 2026",No,No,31
CUST1033,26.0,Female,Hyderabad,Premium,24,717,15057,Net Banking,21,40,427,93,17,27,8,3,3.0,0.72,07/03/2026,No,Yes,121
CUST1034,34.0,Male,Pune,Premium,6,712,22784,Debit Card,32,18,235,10,23,18,3,2,6.0,0.34,2026-02-18,Yes,Yes,138
CUST1035,26.0,Male,Mumbai,Standard,3,392,1960,Net Banking,5,27,179,70,15,26,0,1,7.0,0.4,"Feb 07, 2026",Yes,Yes,149
CUST1036,54.0,Female,Kolkata,Basic,6,198,4950,Net Banking,25,35,392,95,18,38,3,3,4.0,0.3,04/03/2026,Yes,Yes,124
CUST1037,42.0,Female,Hyderabad,Premium,12,689,20670,Debit Card,30,40,283,4,13,37,0,0,7.0,0.17,2026-03-10,Yes,Yes,118
CUST1038,21.0,Female,Kolkata,Standard,3,408,8568,UPI,21,49,460,49,9,26,4,0,8.0,0.07,"Feb 18, 2026",Yes,Yes,138
CUST1039,40.0,Male,Hyderabad,Basic,1,180,2880,Debit Card,16,54,20,80,5,15,2,3,2.0,0.56,12/05/2026,No,Yes,55
CUST1040,62.0,Female,Pune,Standard,3,417,3336,Debit Card,8,20,65,75,1,19,6,3,4.0,0.12,2026-01-11,Yes,Yes,176
CUST1041,24.0,Other,Pune,Standard,24,386,1158,UPI,3,35,229,85,12,4,8,5,6.0,0.06,"Mar 21, 2026",No,Yes,107
CUST1042,24.0,Female,Bengaluru,Premium,12,688,19264,Debit Card,28,47,277,84,9,39,8,3,8.0,0.44,05/02/2026,No,Yes,151
CUST1043,38.0,Male,Pune,Basic,6,207,3312,Net Banking,16,37,322,86,13,21,0,3,6.0,0.21,2026-05-13,No,No,54
CUST1044,34.0,Female,Bengaluru,Premium,6,714,714,PayPal,1,13,53,31,24,26,7,4,4.0,0.67,"Jan 22, 2026",No,Yes,165
CUST1045,46.0,Male,Delhi,Standard,3,404,6464,UPI,16,43,307,48,16,35,8,2,7.0,0.95,16/02/2026,No,Yes,140
CUST1046,40.0,Other,Kolkata,Standard,6,395,5925,Credit Card,15,47,108,41,4,34,2,1,4.0,0.71,2026-04-27,No,No,70
CUST1047,24.0,Male,Bengaluru,Basic,6,190,3800,Credit Card,20,46,283,17,9,2,0,4,5.0,0.68,"Jun 04, 2026",No,No,32
CUST1048,24.0,Male,Chennai,Standard,12,409,11861,UPI,29,12,36,33,16,7,1,3,8.0,0.12,26/01/2026,Yes,Yes,161
CUST1049,27.0,Male,Pune,Premium,6,684,10944,Credit Card,16,36,401,54,20,38,3,4,7.0,0.46,2026-03-15,No,Yes,113
CUST1050,55.0,Female,Bengaluru,Premium,24,682,4774,Debit Card,7,41,118,34,22,5,2,1,3.0,0.55,"May 27, 2026",Yes,Yes,40
CUST1051,44.0,Female,Hyderabad,Premium,12,697,2091,Debit Card,3,19,371,37,23,29,1,5,4.0,0.88,27/01/2026,Yes,Yes,160
CUST1052,45.0,Male,Chennai,Basic,3,196,1960,Credit Card,10,4,94,102,10,38,4,3,2.0,0.47,2026-04-20,No,Yes,77
CUST1053,35.0,Other,Chennai,Standard,12,384,1152,Net Banking,3,48,175,78,9,1,1,1,10.0,0.58,"Jul 01, 2026",No,No,5
CUST1054,54.0,Male,Pune,Basic,12,212,6148,UPI,29,12,309,56,21,31,1,3,6.0,0.42,15/04/2026,Yes,No,82
CUST1055,28.0,Female,Kolkata,Premium,12,697,18122,PayPal,26,3,242,12,11,16,5,0,7.0,0.83,2026-07-06,No,Yes,0
CUST1056,44.0,Male,Mumbai,Premium,6,718,22976,Net Banking,32,49,36,27,9,35,2,2,8.0,0.84,"Mar 04, 2026",Yes,Yes,124
CUST1057,19.0,Other,Chennai,Basic,3,198,7128,Credit Card,36,36,218,12,8,7,7,0,3.0,0.5,23/04/2026,No,Yes,74
CUST1058,44.0,Female,Kolkata,Basic,12,214,2140,Net Banking,10,13,481,77,17,8,1,2,7.0,0.36,2026-02-27,No,Yes,129
CUST1059,18.0,Female,Hyderabad,Standard,24,416,13312,Debit Card,32,29,285,62,12,21,8,4,7.0,0.46,"Apr 15, 2026",Yes,No,82
CUST1060,62.0,Male,Chennai,Standard,3,405,1215,UPI,3,48,252,91,13,24,2,3,1.0,0.16,05/02/2026,No,Yes,151
CUST1006,32.0,Male,Pune,Standard,12,396,1980,Debit Card,5,59,492,73,23,20,3,5,8.0,0.41,23/01/2026,No,Yes,164
CUST1013,22.0,Other,Hyderabad,Basic,3,183,549,UPI,3,5,273,31,9,31,3,4,3.0,0.7,2026-02-10,No,Yes,146
